"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Kyle Higashioka","NYY","84","306","280","57","12","0","14","32","39","22","83","2","0","0","",".205",".266",".397",".662",".284","79","","1.8","","556.4","5517"
"Brian Anderson","MIA","121","490","431","107","20","1","16","58","55","45","118","10","4","1","",".249",".332",".415",".747",".324","106","","1.8","","492.6","18289"
"Ian Happ","CHC","141","561","487","117","22","2","26","72","71","65","160","5","7","2","",".240",".333",".451",".784",".337","109","","1.8","","212.0","17919"
"Robbie Grossman","DET","135","571","485","118","22","3","16","71","57","76","123","6","14","4","",".243",".349",".402",".752",".329","108","","1.8","","191.2","5254"
"Danny Jansen","TOR","92","333","293","67","14","1","14","41","39","31","71","6","1","0","",".229",".313",".421",".734",".317","97","","1.8","","403.6","16535"
"Tommy Pham","","119","507","436","114","22","2","17","71","56","63","112","6","14","4","",".262",".360",".436",".796",".346","111","","1.8","","277.3","2967"
"Ryan Mountcastle","BAL","145","611","560","148","30","2","28","76","82","41","157","5","5","1","",".265",".319",".476",".795",".337","112","","1.8","","120.1","18373"
"Gary Sánchez","MIN","101","398","346","75","15","1","20","50","52","42","107","6","0","0","",".217",".312",".435",".747",".321","103","","1.8","","246.7","11442"
"Luis Arraez","MIN","131","542","486","145","28","3","4","64","50","47","52","3","3","1","",".299",".361",".394",".755",".330","109","","1.7","","346.9","18568"
"Jacob Stallings","MIA","112","419","373","89","17","0","10","43","42","38","93","4","0","0","",".240",".315",".369",".684",".300","90","","1.7","","420.4","13723"
"Jorge Soler","MIA","130","569","494","116","22","1","28","71","76","62","150","8","1","0","",".236",".329",".452",".781",".336","114","","1.7","","192.8","14221"
"C.J. Cron","COL","135","547","480","130","26","2","29","77","83","50","117","12","1","0","",".270",".351",".510",".861",".365","115","","1.7","","125.7","12546"
"Nick Senzel","CIN","104","393","355","96","23","2","11","52","44","31","73","3","11","3","",".271",".332",".436",".768",".330","101","","1.6","","433.1","19293"
"Aaron Hicks","NYY","105","429","367","83","16","1","16","53","47","56","94","3","3","1","",".226",".330",".404",".734",".320","103","","1.6","","524.3","5297"
"Brendan Rodgers","COL","128","525","483","134","30","2","18","67","68","30","109","8","2","1","",".277",".328",".459",".787",".336","97","","1.6","","169.8","17907"
"Hunter Renfroe","MIL","138","553","499","120","25","1","31","71","84","44","131","5","3","1","",".241",".307",".484",".790",".334","107","","1.6","","161.5","15464"
"Mike Moustakas","CIN","124","483","431","105","21","1","23","59","67","42","94","5","1","0","",".245",".317",".460",".777",".331","101","","1.6","","368.4","4892"
"Manny Piña","ATL","73","251","225","54","10","0","10","30","30","19","57","4","1","0","",".238",".308",".418",".726",".313","92","","1.6","","570.0","2829"
"Isiah Kiner-Falefa","NYY","129","540","498","132","22","3","7","62","47","31","78","8","12","5","",".266",".317",".363",".680",".298","88","","1.6","","297.8","16512"
"Ha-Seong Kim","SDP","120","410","370","86","19","2","12","48","43","33","86","4","8","2","",".233",".300",".393",".694",".299","89","","1.6","","355.3","27506"
"Brad Miller","TEX","110","394","343","80","15","2","18","51","50","45","111","2","2","1","",".234",".324",".451",".776",".332","111","","1.6","","554.1","12775"
"Manuel Margot","TBR","114","437","395","100","19","3","10","53","43","35","72","2","15","5","",".253",".316",".393",".709",".307","99","","1.6","","411.4","14712"
"Evan Longoria","SFG","109","434","390","98","20","2","15","52","53","35","94","4","2","1","",".250",".316",".429",".745",".319","101","","1.5","","451.0","9368"
"Seiya Suzuki","CHC","119","517","452","114","25","2","19","64","60","54","117","7","8","3","",".251",".338",".439",".777",".334","107","","1.5","","999.0","sa3018052"
"Bobby Witt Jr.","KCR","127","542","498","122","27","3","18","62","62","35","131","5","13","4","",".245",".300",".417",".716",".307","91","","1.5","","89.6","sa3011225"
"Wilmer Flores","SFG","110","409","368","98","19","1","16","49","53","32","57","4","1","0","",".267",".329",".452",".782",".334","111","","1.5","","466.5","5827"
"Alejandro Kirk","TOR","92","343","304","79","16","0","12","42","41","32","50","4","1","0","",".260",".336",".432",".768",".331","106","","1.5","","238.4","22581"
"Austin Barnes","LAD","61","215","190","44","8","1","6","27","24","20","52","4","2","1","",".229",".313",".377",".690",".302","90","","1.5","","592.8","12158"
"Michael Brantley","HOU","118","507","458","128","27","2","9","59","53","40","61","5","2","1","",".279",".341",".405",".746",".324","108","","1.5","","251.8","4106"
"Austin Hays","BAL","132","552","509","131","25","3","21","66","66","32","113","7","7","2","",".258",".309",".443",".752",".322","102","","1.5","","243.3","19363"
"Jesús Sánchez","MIA","134","543","495","125","24","3","21","64","67","40","141","4","4","1","",".252",".311",".439",".750",".319","103","","1.5","","226.8","19913"
"Odúbel Herrera","PHI","106","426","387","103","21","2","12","54","48","32","77","5","5","2","",".268",".330",".426",".756",".326","102","","1.5","","582.8","11476"
"Alex Kirilloff","MIN","126","522","477","129","27","3","17","65","63","36","110","4","4","2","",".271",".325",".448",".773",".329","108","","1.5","","177.8","20325"
"Christian Vázquez","BOS","118","456","418","104","19","1","9","50","44","30","83","3","6","2","",".249",".302",".362",".664",".290","77","","1.5","","201.9","9774"
"Akil Baddoo","DET","140","564","499","117","24","6","17","71","56","58","151","4","17","4","",".234",".316",".408",".724",".313","98","","1.5","","156.4","22168"
"Tom Murphy","SEA","77","282","252","52","10","1","12","31","35","25","90","3","1","0","",".209",".286",".399",".686",".297","91","","1.5","","538.4","13499"
"Wil Myers","SDP","138","529","469","114","23","2","21","68","63","53","148","3","11","3","",".244",".323",".432",".755",".325","106","","1.4","","290.1","10047"
"James McCann","NYM","109","409","370","86","14","1","12","45","45","30","113","5","3","1","",".234",".299",".373",".672",".293","88","","1.4","","342.8","12859"
"Tony Kemp","OAK","127","438","379","92","16","3","7","47","34","48","64","6","8","3","",".242",".334",".353",".687",".305","96","","1.4","","461.8","14894"
"Kevin Kiermaier","TBR","113","420","378","86","16","5","7","48","35","34","105","5","12","4","",".228",".300",".353",".653",".286","84","","1.4","","588.6","11038"
"Yan Gomes","CHC","84","323","293","73","14","1","12","35","41","21","71","5","1","0","",".250",".308",".428",".736",".314","94","","1.4","","437.8","9627"
"Ramón Urías","BAL","120","448","399","96","21","1","11","49","44","36","114","10","3","1","",".241",".318",".383",".701",".307","92","","1.4","","526.6","18795"
"Elias Díaz","COL","105","381","347","91","18","1","14","46","49","28","67","2","0","0","",".261",".319",".440",".759",".325","89","","1.4","","231.9","11680"
"Andrew McCutchen","MIL","116","487","416","103","20","2","21","65","63","62","105","5","4","1","",".247",".349",".454",".803",".346","115","","1.4","","350.9","9847"
"Lorenzo Cain","MIL","105","421","377","100","18","2","7","52","40","37","74","4","13","3","",".266",".335",".382",".717",".315","94","","1.4","","447.7","9077"
"Abraham Toro","SEA","93","372","330","81","17","1","11","43","40","32","66","6","5","2","",".245",".321",".405",".726",".315","104","","1.4","","317.9","19844"
"Oneil Cruz","PIT","120","480","439","108","22","3","14","56","53","36","133","2","9","3","",".247",".306",".408",".714",".307","91","","1.4","","215.6","21711"
"Trey Mancini","BAL","143","614","550","145","26","2","22","73","73","52","138","8","1","0","",".263",".334",".440",".774",".333","109","","1.4","","204.8","15149"
