"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Peyton Burdick","MIA","4","15","13","3","1","0","0","2","2","1","5","0","0","0","",".216",".303",".374",".678",".296","88","","0.0","","999.0","sa3009876"
"Lars Nootbaar","STL","95","328","293","72","12","2","9","38","34","30","67","2","3","1","",".245",".317",".390",".707",".305","94","","0.0","","571.0","21454"
"Fabian Pena","","2","6","6","1","0","0","0","1","1","0","2","0","0","0","",".218",".264",".361",".626",".270","70","","0.0","","999.0","sa3007303"
"Tyler Nevin","BAL","18","66","60","14","3","0","2","7","7","5","15","1","0","0","",".234",".300",".370",".670",".292","82","","0.0","","999.0","17893"
"DJ Peters","","12","44","39","8","2","0","2","5","5","3","15","1","0","0","",".210",".283",".387",".670",".290","83","","0.0","","600.5","19348"
"José Rondón","","16","49","45","10","2","0","1","5","5","3","12","0","0","0","",".226",".281",".372",".653",".283","79","","0.0","","999.0","14140"
"Jonathan Aranda","TBR","9","33","30","7","2","0","1","3","3","3","7","0","0","0","",".241",".307",".365",".673",".294","90","","0.0","","999.0","sa919293"
"Mark Kolozsvary","CIN","9","33","30","6","1","0","1","3","3","3","11","1","0","0","",".206",".284",".352",".636",".280","68","","0.0","","999.0","sa3004996"
"Maikel Franco","WSN","28","113","104","24","4","0","4","11","13","7","19","1","0","0","",".231",".282",".381",".664",".284","74","","0.0","","591.6","12179"
"Alex De Goti","HOU","3","10","9","2","0","0","0","1","1","1","3","0","0","0","",".212",".277",".319",".596",".264","67","","0.0","","999.0","19477"
"Anderson Tejeda","STL","4","13","12","2","0","0","0","1","1","1","5","0","0","0","",".195",".255",".340",".595",".259","63","","0.0","","999.0","19909"
"Kean Wong","","6","16","15","4","1","0","0","2","1","1","4","0","0","0","",".235",".289",".335",".624",".273","70","","0.0","","999.0","15994"
"Ronnie Dawson","CIN","3","8","7","2","0","0","0","1","1","1","2","0","0","0","",".216",".293",".349",".641",".282","69","","0.0","","999.0","19710"
"Yolmer Sánchez","","6","23","21","5","1","0","0","2","2","2","6","0","0","0","",".225",".291",".329",".620",".274","69","","0.0","","999.0","11602"
"Micker Adolfo","CHW","8","33","30","6","1","0","1","4","4","2","12","0","0","0","",".215",".282",".386",".668",".289","82","","0.0","","999.0","sa830303"
"Tyler Payne","CHC","7","12","11","2","0","0","0","1","1","1","3","0","0","0","",".211",".262",".337",".599",".261","60","","0.0","","999.0","21139"
"Mike Tauchman","","3","9","8","2","0","0","0","1","1","1","2","0","0","0","",".224",".308",".347",".654",".288","82","","0.0","","999.0","15274"
"Tyler White","","2","7","6","1","0","0","0","1","1","1","1","0","0","0","",".233",".325",".366",".691",".305","88","","0.0","","999.0","15564"
"Greg Bird","","7","29","25","6","1","0","1","3","3","3","8","0","0","0","",".218",".311",".409",".720",".312","93","","0.0","","999.0","14131"
"Hernán Pérez","","6","15","14","3","1","0","0","2","2","1","4","0","0","0","",".232",".276",".365",".642",".277","70","","0.0","","999.0","5751"
"Derek Fisher","MIN","3","8","7","2","0","0","0","1","1","1","3","0","0","0","",".209",".299",".351",".649",".286","80","","0.0","","999.0","16192"
"Tim Lopes","COL","3","8","8","2","0","0","0","1","1","1","2","0","0","0","",".245",".297",".370",".667",".290","66","","0.0","","999.0","14137"
"Robel García","","5","17","16","3","1","0","1","2","2","2","6","0","0","0","",".187",".265",".344",".609",".266","69","","0.0","","999.0","13167"
"Ivan Castillo","KCR","6","16","15","4","1","0","0","2","1","1","3","0","0","0","",".240",".282",".338",".619",".269","66","","0.0","","999.0","15971"
"Símon Muzziotti","PHI","3","12","11","3","1","0","0","1","1","1","2","0","0","0","",".256",".308",".364",".673",".292","80","","0.0","","999.0","sa917376"
"Nick Martini","","8","20","18","4","1","0","0","2","2","2","5","0","0","0","",".237",".325",".339",".665",".296","82","","0.0","","999.0","12005"
"Erik González","MIA","3","10","10","2","0","0","0","1","1","0","2","0","0","0","",".241",".278",".335",".613",".267","68","","0.0","","600.0","13369"
"Lewin Díaz","MIA","79","304","279","64","14","1","13","32","40","19","72","3","1","0","",".229",".282",".427",".710",".300","90","","0.0","","584.4","18365"
"Ka'ai Tom","SFG","6","19","17","4","1","0","0","2","2","2","5","0","0","0","",".217",".298",".358",".656",".287","81","","0.0","","999.0","18136"
"Corey Ray","","6","22","20","4","1","0","1","2","2","2","7","0","0","0","",".203",".269",".350",".619",".269","65","","0.0","","999.0","19170"
"Jamie Ritchie","PIT","4","16","14","3","1","0","0","2","1","2","3","0","0","0","",".239",".323",".333",".656",".293","82","","0.0","","999.0","sa829058"
"Ryan O'Hearn","KCR","28","104","93","21","5","0","4","11","13","9","27","1","0","0","",".229",".300",".410",".710",".305","90","","0.0","","599.7","16442"
"Josh Ockimey","PHI","3","10","8","2","0","0","0","1","1","1","3","0","0","0","",".204",".307",".365",".672",".296","82","","0.0","","999.0","sa829375"
"Jorge Oña","SDP","6","14","13","3","1","0","0","1","1","1","4","0","0","0","",".224",".291",".360",".650",".283","79","","0.0","","999.0","20040"
"Mike Ford","","3","11","9","2","0","0","0","1","1","1","3","0","0","0","",".198",".287",".357",".644",".281","82","","0.0","","999.0","15585"
"Adrián Sanchez","WSN","4","8","8","2","0","0","0","1","1","0","2","0","0","0","",".237",".282",".332",".614",".267","63","","0.0","","999.0","11338"
"Billy Hamilton","","30","94","86","18","3","1","1","11","5","7","26","0","5","1","",".209",".269",".296",".565",".251","60","","0.0","","598.5","10199"
"JaCoby Jones","KCR","2","7","6","1","0","0","0","1","1","0","2","0","0","0","",".216",".280",".352",".632",".276","71","","0.0","","999.0","14818"
"Jake Cave","MIN","31","107","97","22","4","1","3","12","10","8","34","2","1","0","",".225",".292",".364",".656",".286","80","","0.0","","999.0","14477"
"JT Riddle","","7","16","15","3","1","0","0","2","1","1","3","0","0","0","",".216",".265",".324",".589",".256","59","","0.0","","999.0","17642"
"Guillermo Heredia","ATL","59","208","184","43","9","0","4","23","19","17","46","5","1","0","",".232",".311",".349",".660",".291","78","","0.0","","999.0","18721"
"Nick Plummer","","5","17","15","3","1","0","0","2","1","2","6","0","0","0","",".194",".299",".317",".616",".278","78","","0.0","","999.0","sa874684"
"Kyle Stowers","BAL","5","13","12","3","1","0","0","1","1","1","5","0","0","0","",".216",".293",".373",".666",".289","80","","0.0","","999.0","sa1115829"
"Justin Williams","PHI","4","14","13","3","1","0","0","2","2","1","4","0","0","0","",".224",".290",".376",".666",".287","76","","0.0","","999.0","15490"
"Logan Warmoth","TOR","3","9","8","2","0","0","0","1","1","1","3","0","0","0","",".195",".275",".299",".574",".258","57","","0.0","","999.0","sa3004813"
"Brendon Davis","LAA","8","30","27","6","1","0","1","3","3","2","9","0","0","0","",".221",".287",".365",".652",".284","78","","0.0","","999.0","sa875089"
"Jarrod Dyson","","63","180","163","35","6","1","1","21","10","14","37","1","11","2","",".214",".282",".288",".570",".255","57","","0.0","","999.0","4866"
"Franchy Cordero","BOS","24","89","80","18","4","1","2","11","9","7","29","1","1","1","",".229",".298",".381",".679",".294","81","","0.0","","999.0","14567"
"Adam Haseley","PHI","80","289","262","62","12","1","5","31","26","20","64","3","3","1","",".238",".300",".346",".646",".283","74","","0.0","","600.9","19878"
"Buddy Reed","OAK","5","17","16","3","1","0","0","2","1","1","6","0","0","0","",".191",".257",".313",".570",".250","59","","0.0","","999.0","sa738683"
"Blake Rutherford","CHW","3","10","9","2","0","0","0","1","1","1","3","0","0","0","",".223",".271",".345",".617",".267","68","","0.0","","999.0","sa917932"
"Phillip Evans","","7","25","22","5","1","0","1","3","2","2","5","0","0","0","",".229",".302",".353",".655",".289","82","","0.0","","999.0","12950"
"Collin Theroux","","3","9","8","1","0","0","0","1","1","1","4","0","0","0","",".142",".230",".262",".492",".223","41","","0.0","","999.0","sa876102"
"Todd Frazier","","4","15","13","3","1","0","0","2","2","1","3","0","0","0","",".215",".296",".358",".654",".288","79","","0.0","","600.9","785"
"Ildemaro Vargas","CHC","11","31","29","7","1","0","0","3","3","2","4","0","0","0","",".244",".287",".344",".630",".273","67","","0.0","","999.0","13324"
"Zach Reks","TEX","17","61","55","12","2","0","2","6","6","5","20","1","0","0","",".219",".295",".353",".648",".285","80","","0.0","","999.0","19667"
"Travis Demeritte","ATL","7","29","27","6","1","0","1","3","3","2","10","0","0","0","",".210",".282",".379",".661",".286","75","","0.0","","999.0","15958"
"Rio Ruiz","","14","41","37","9","2","0","1","5","4","3","9","0","0","0","",".234",".296",".376",".672",".291","67","","0.0","","999.0","14103"
"Dustin Fowler","","5","15","14","3","1","0","0","2","2","1","4","0","0","0","",".223",".273",".363",".636",".275","71","","0.0","","999.0","17098"
"Mickey Moniak","PHI","52","172","158","35","8","1","4","19","18","11","49","1","2","1","",".225",".279",".372",".651",".279","71","","0.0","","600.4","19956"
"Nelson Velazquez","","11","40","37","8","2","0","1","4","5","3","13","0","0","0","",".228",".285",".392",".676",".289","78","","0.0","","600.7","sa3005129"
"Willians Astudillo","MIA","6","19","18","5","1","0","0","2","2","1","1","0","0","0","",".251",".286",".368",".655",".282","78","","0.0","","601.0","15608"
"Jaylin Davis","SFG","10","36","32","7","1","0","1","4","4","3","12","0","0","0","",".219",".287",".366",".654",".284","79","","0.0","","999.0","19552"
"Scott Hurst","STL","10","12","11","2","0","0","0","1","1","1","4","0","0","0","",".210",".275",".316",".591",".261","65","","0.0","","999.0","20501"
"JJ Bleday","MIA","7","24","22","5","1","0","1","2","2","2","6","0","0","0","",".210",".284",".340",".624",".274","73","","0.0","","599.3","sa3011642"
"Yusniel Diaz","BAL","6","25","23","5","1","0","1","3","2","2","7","0","0","0","",".218",".284",".351",".635",".278","72","","0.0","","999.0","sa912848"
"Luke Williams","PHI","35","115","105","23","5","0","2","12","10","8","28","1","3","1","",".222",".283",".338",".621",".272","67","","0.0","","999.0","19931"
"Alfonso Rivas","CHC","31","121","107","26","5","0","2","12","11","12","29","2","0","0","",".247",".327",".356",".683",".302","86","","0.0","","999.0","21560"
"Jake Bauers","CIN","18","60","52","12","3","0","2","7","6","6","14","1","1","0","",".229",".317",".375",".693",".304","84","","0.0","","600.5","15194"
"Khris Davis","","54","202","180","40","7","0","9","24","27","18","55","3","0","0","",".225",".302",".422",".725",".312","95","","0.0","","999.0","9112"
"Jake Hager","ARI","6","18","17","3","1","0","0","2","2","1","5","0","0","0","",".206",".260",".324",".583",".255","55","","0.0","","999.0","12198"
"Greg Deichmann","CHC","10","28","25","5","1","0","1","3","3","3","9","0","0","0","",".212",".290",".347",".636",".280","72","","0.0","","999.0","19872"
"Drew Butera","","14","47","42","8","2","0","1","4","4","3","14","0","0","0","",".194",".261",".305",".567",".251","55","","0.0","","999.0","3411"
"Rusney Castillo","","4","17","16","4","1","0","0","2","2","1","3","0","0","0","",".244",".282",".332",".614",".268","63","","0.0","","999.0","17016"
"Dillon Thomas","LAA","8","24","21","4","1","0","1","2","2","2","8","1","0","0","",".205",".279",".330",".609",".269","68","","0.0","","999.0","12719"
"Hunter Owen","PIT","13","29","26","5","1","0","1","3","3","2","10","1","0","0","",".208",".274",".366",".639",".277","72","","0.0","","999.0","20034"
"Jared Oliva","PIT","27","92","84","19","4","1","1","9","7","6","25","1","3","1","",".230",".291",".338",".628",".275","71","","0.0","","999.0","19968"
"Grayson Greiner","","18","62","57","11","2","0","1","6","6","5","22","1","0","0","",".200",".267",".324",".591",".261","59","","0.0","","999.0","17062"
"Darick Hall","PHI","8","34","30","6","2","0","1","4","4","3","10","1","0","0","",".211",".294",".375",".669",".292","79","","0.0","","999.0","sa918293"
"Trey Amburgey","CIN","8","22","20","5","1","0","1","2","2","1","6","0","0","0","",".224",".273",".376",".649",".279","68","","0.0","","999.0","18425"
"Gerardo Parra","","6","19","17","4","1","0","0","2","2","1","4","0","0","0","",".231",".294",".328",".622",".274","67","","0.0","","999.0","8553"
"Charlie Culberson","TEX","53","171","158","36","7","1","4","18","15","10","43","1","3","1","",".229",".280",".355",".635",".276","73","","0.0","","597.2","3298"
"Johneshwy Fargas","NYM","6","19","18","4","1","0","0","2","1","1","5","0","1","0","",".216",".274",".326",".599",".263","61","","0.0","","999.0","16446"
"Rob Refsnyder","BOS","35","130","116","28","6","0","3","14","13","12","33","1","0","0","",".240",".313",".367",".680",".298","83","","0.0","","999.0","13770"
"Luis Barrera","","54","166","152","35","7","1","2","15","12","11","38","1","3","1","",".228",".284",".325",".609",".268","71","","-0.1","","999.0","19615"
"Jake Noll","WSN","7","20","19","4","1","0","0","2","2","1","4","0","0","0","",".236",".277",".355",".632",".274","67","","-0.1","","999.0","19703"
"MJ Melendez","KCR","40","158","142","31","7","1","5","17","18","14","48","1","1","0","",".221",".293",".402",".694",".299","87","","-0.1","","434.5","sa3004139"
"Jack López","DET","14","35","32","7","1","0","1","4","3","2","9","0","1","0","",".221",".266",".321",".587",".257","55","","-0.1","","999.0","13663"
"Sam Hilliard","COL","102","377","341","75","14","3","16","48","46","31","129","2","8","2","",".219",".288",".416",".704",".300","73","","-0.1","","473.3","17954"
"Jose Rojas","LAA","22","82","75","16","4","0","3","9","9","6","21","1","1","0","",".217",".278",".373",".650",".281","76","","-0.1","","600.4","19331"
"Taylor Jones","HOU","20","76","68","15","3","0","2","8","8","7","20","1","0","0","",".221",".297",".359",".656",".287","82","","-0.1","","999.0","19533"
"Trent Giambrone","CHC","10","33","30","6","1","0","1","3","3","2","10","0","1","0","",".196",".259",".316",".575",".253","54","","-0.1","","999.0","19250"
"Sheldon Neuse","OAK","39","128","118","26","5","0","3","11","11","9","40","1","1","0","",".218",".273",".335",".608",".266","70","","-0.1","","999.0","19635"
"John Nogowski","ATL","23","86","76","18","3","0","2","9","8","8","14","1","0","0","",".242",".318",".358",".675",".297","82","","-0.1","","600.8","16852"
"Andrew Knizner","STL","57","206","185","43","8","0","4","20","19","15","40","3","1","0","",".230",".298",".336",".634",".279","76","","-0.1","","598.7","19514"
"Scott Schebler","","10","31","28","6","1","0","1","3","3","2","9","1","0","0","",".211",".283",".359",".641",".280","60","","-0.1","","999.0","12225"
"Mitch Moreland","","69","261","234","53","10","1","11","29","33","23","59","2","0","0","",".228",".300",".413",".714",".306","92","","-0.1","","600.9","3086"
"Pete Kozma","","12","35","32","6","1","0","0","2","2","2","8","0","0","0","",".189",".243",".257",".499",".224","41","","-0.1","","999.0","2539"
"Alcides Escobar","WSN","96","399","366","91","17","2","5","40","36","20","73","4","3","1","",".248",".293",".345",".637",".279","71","","-0.1","","586.8","6310"
"Frank Schwindel","CHC","131","550","512","126","27","1","20","58","68","28","104","5","2","1","",".246",".290",".421",".711",".304","87","","-0.1","","232.3","15351"
"Andrew Stevenson","WSN","78","256","234","56","10","1","5","28","23","18","69","2","4","1","",".240",".299",".358",".656",".286","76","","-0.1","","597.8","17932"
"Scott Kingery","PHI","29","83","76","17","4","0","2","9","8","6","25","1","1","0","",".219",".278",".368",".647",".280","72","","-0.1","","600.9","17975"
"Pat Valaika","","37","121","113","24","5","0","3","11","12","7","33","1","1","0","",".214",".260",".346",".606",".263","62","","-0.1","","999.0","14885"
"Donovan Casey","","12","46","43","9","2","0","1","5","4","3","16","0","1","0","",".215",".264",".348",".612",".266","62","","-0.1","","999.0","sa915654"
"Trayce Thompson","","13","43","39","7","1","0","2","4","5","4","16","0","0","0","",".185",".256",".349",".606",".264","66","","-0.1","","999.0","9952"
"Brock Holt","ATL","58","216","192","44","9","1","2","23","16","20","43","3","2","1","",".230",".308",".311",".619",".277","69","","-0.1","","999.0","9345"
"Phil Gosselin","ATL","47","182","167","42","8","1","4","21","17","13","40","1","2","1","",".253",".307",".374",".681",".296","81","","-0.1","","593.5","10953"
"Ryan Vilade","COL","42","143","131","34","7","1","3","17","14","10","28","1","3","1","",".258",".314",".382",".696",".302","74","","-0.1","","600.5","22165"
"Mason Martin","PIT","30","119","107","22","5","0","4","12","14","10","43","2","1","0","",".209",".287",".388",".675",".291","81","","-0.1","","591.7","sa3004885"
"Magneuris Sierra","LAA","16","52","48","11","2","0","0","5","4","3","11","0","2","0","",".231",".279",".306",".585",".256","59","","-0.1","","999.0","17023"
"Edwin Ríos","LAD","33","106","95","21","5","0","4","13","14","8","35","2","0","0","",".220",".290",".411",".701",".301","89","","-0.1","","585.5","18316"
"Josh Reddick","","45","155","141","35","7","1","3","16","16","11","28","0","1","0","",".245",".300",".359",".659",".287","76","","-0.1","","999.0","3892"
"Clint Frazier","CHC","95","368","324","72","16","1","11","41","39","37","102","5","3","1","",".223",".310",".388",".698",".305","88","","-0.2","","465.6","15983"
"Yadiel Hernandez","WSN","91","328","296","73","12","0","9","36","36","28","77","1","1","1","",".247",".314",".388",".702",".304","87","","-0.2","","583.2","19334"
"Harold Castro","DET","56","206","192","48","8","1","2","19","17","10","43","1","1","0","",".248",".289",".330",".619",".271","69","","-0.2","","599.6","14691"
"Kelvin Gutierrez","BAL","83","324","298","69","12","2","5","33","27","21","83","3","3","1","",".232",".288",".338",".626",".275","70","","-0.2","","597.8","17468"
"Cody Thomas","","34","135","122","24","5","1","4","12","13","10","49","1","1","0","",".194",".263",".344",".606",".265","69","","-0.2","","999.0","sa738459"
"Seth Brown","OAK","117","423","386","80","17","2","16","43","47","32","134","3","4","1","",".208",".272",".386",".658",".283","81","","-0.2","","498.9","18171"
"Ronald Torreyes","PHI","50","178","166","39","6","1","2","17","16","8","24","1","1","0","",".236",".276",".324",".600",".262","60","","-0.2","","600.9","11400"
"Miguel Cabrera","DET","110","459","416","103","18","1","12","46","49","35","100","3","0","0","",".247",".309",".382",".691",".300","89","","-0.2","","537.3","1744"
"Nick Pratto","KCR","70","284","255","56","13","1","9","31","31","25","94","2","4","1","",".220",".294",".387",".681",".295","84","","-0.2","","544.3","sa3004138"
"Stephen Piscotty","OAK","112","428","386","85","17","1","12","40","42","33","108","5","3","1","",".221",".290",".359",".649",".284","82","","-0.3","","596.2","13367"
"Monte Harrison","MIA","48","144","131","26","4","0","4","16","12","10","60","2","5","1","",".195",".261",".323",".584",".258","63","","-0.3","","999.0","17216"
"Albert Pujols","","44","160","153","33","6","0","6","15","20","5","26","1","1","0","",".217",".243",".377",".621",".264","64","","-0.6","","597.3","1177"
